编号,正面情绪,文本
1,0.5,哪家海鲜店做的最好吃？那家性价比最高的？
2,0.5,回复@咸菜是条狗:小编发过不止一次梭子蟹[泪][泪]
3,0.5,回复@梦想坐在院子里赏花:以前发过啦[哆啦A梦花心][哆啦A梦花心]
4,0.5,烟台银应该发莱州梭子蟹吧？
5,0.5,作为一个海边的旅游博你竟然发大闸蟹，为什么不是赤甲红，为什么不是梭子蟹
6,0.5,回复@烟台旅游官方微博:[哼][哼][哼][哼][哼][哼]阔以，约起
7,0.5,回复@Junjie_Snoopy:如果你要请小编吃，海蟹还是大闸蟹，我都不介意[哆啦A梦微笑][哆啦A梦微笑][哆啦A梦微笑]
8,0.5,回复@烟台旅游官方微博:[哆啦A梦吃惊]还是海蟹肉好吃，大闸蟹只有蟹黄吃，木有肉~
9,0.5,回复@Junjie_Snoopy:恩恩，以前发过梭子蟹，今天换换口味啦[doge][doge]
10,0.4737150425347657,回复@烟台旅游官方微博:是不是每天@小编 也会增加流量呢[阴险]
11,0.5,回复@SmileBBao:天天求勾搭[害羞][害羞][害羞]
12,0.5,[doge]你竟然想取代省会！
13,0.5,每天勾搭一次小编[来][阴险]
14,0.5,恩，先给自己定一个小目标，棒棒哒！下周前五，下下周争取拿下前三名[偷笑]加油[带着微博去旅行]
15,0.5,回复@烟台旅游官方微博:我要睡觉觉，不跟你玩了，回聊
16,0.5,回复@汲仁堂堂主:[笑cry][笑cry][笑cry]
17,0.5,回复@烟台旅游官方微博:没事学学中医，养生长头发[哈哈][哈哈]
18,0.5,回复@汲仁堂堂主:[微笑][微笑]小编为了工作，头发都快掉光啦，压力超级大
19,0.5,回复@烟台旅游官方微博:你这个工作挺好[思考]
20,0.5,回复@ONE-LEI:感谢各位支持啦
21,0.4737150425347657,回复@汲仁堂堂主:小编在上班啊 ，肿么啦
22,0.5,[good][good][good]
23,0.5,回复@烟台旅游官方微博:你是休班么
24,0.5,回复@汲仁堂堂主:来啦，快不快！！
25,0.5,不实用。没有力量都白搭。而且一般个子高的都先踹。
26,0.5,@遊俠-堂吉訶德
27,0.5,回复@晴天小美女:我也是[哈哈]
28,0.5,回复@晴天小美女:非常值得一看！
29,0.5,回复@汤好暖:哈哈，客气啦
30,0.5,回复@烟台旅游官方微博:谢谢
31,0.5,回复@汤好暖:烟台山上
32,0.5,烟台山
33,0.5,回复@烟台旅游官方微博:[可爱][good]
34,0.5,回复@小点jaja:中午好啊
35,0.5,能告诉我都是哪里嘛[汗][汗]怎么一个都没见过的样子
36,0.5,认识7个图
37,0.5,转发微博
38,0.5,回复@001-lee:不同季节，有这着不同的美，夏季更适合来旅游
39,0.5,回复@2弯播:[偷笑][偷笑]
40,0.5,呵呵呵呵，我懂了。
41,0.5,回复@烟台旅游官方微博:跟姥姥生活比较幸福[嘻嘻]
42,0.5,回复@千里林-大樱桃:哈哈，生活不错啊
43,0.5,你不懂的美[泪]晚饭就是它了
44,0.5,我说我就喜欢喝羊汤，小时候姥姥每天都做，喝到三伏天也是醉了[嘻嘻]
45,0.5,详细些
46,0.5,回复@烟台旅游官方微博:上济南干哄么？
47,0.5,回复@2弯播:寻米妹→_→→_→→_→我来济南啦
48,0.5,回复@2弯播:小编的妹妹[疑问][doge]
49,0.5,小编，寻妹是谁？
50,0.5,馋了[可怜]
51,0.5,在老家经常吃虾酱，但是来烟台都没发现哪有卖的，而且虾酱味道是真大啊
52,0.5,我爱虾酱肉[爱你]
53,0.5,正宗的纯大虾醤更好吃。
54,0.5,这个好吃
55,0.5,不过好多地方都是老年人免票。
56,0.5,回复@烟台旅游官方微博:[可爱][可爱][可爱][握手][握手][握手]
57,0.5,回复@至少还有你19970518:谢谢你这么体谅小编，毕竟小编天天挤17路[笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry][笑cry]
58,0.5,回复@烟台旅游官方微博:呵呵！还好，我上班和买菜都不用挤公交，只是体谅上班挤公交的[可爱][可爱][可爱]
59,0.5,回复@至少还有你19970518:哈哈/一起挤挤呗，平时你坐几路啊
60,0.5,哈哈哈！又多了一大批跟上班的抢公交车上早市买菜的[哈哈][哈哈][偷笑][偷笑]
61,0.5,好事
62,0.5,回复@ONE-LEI:历史上总是很辉煌的
63,0.5,看饿了，最爱爬虾
64,0.5,现在一桶得多少银子，吃不起了[馋嘴]
65,0.5,俺都是蒸
66,0.5,我就想问一下，烟台地区一座文庙都没有吗？？？
67,0.5,这是哪年定义的城市了？
68,0.5,我就在珠海
69,0.5,年轻人的浪漫之城
70,0.5,珠海
71,0.5,11.湛江[思考]
72,0.5,厦门就算了
73,0.5,你买得起厦门的房子吗
74,0.5,青岛市二线城市啊，我一直以为是三线呢。。。。
75,0.5,当然是烟台喽！厦门哪有我大烟台好
76,0.5,海口脏乱差，还养老，满大街乱传的电动车要吓坏老人滴。
77,0.5,厦门养老我信，但是。。
78,0.5,爱烟台，想烟台
79,0.5,老了一定回去[泪]
80,0.5,烟台
81,0.5,烟台青岛都上榜了，竟然没有威海？？？？？？？？？
82,0.5,来上海上学，就开始想念我们大烟台了
83,0.5,在烟台生活了5年，想去烟台定居了
84,0.5,爱在烟台，难以离开[好爱哦]
85,0.5,@栀青Lin
86,0.5,好文笔
87,0.4737150425347657,@海椒eleven 好好看
88,0.5,@栀青Lin
89,0.5,开烟台？
90,0.5,开烟台，你咋不上天和太阳肩并肩呢
91,0.5,回复@里个郎个梨:可以打电话咨询下
92,0.5,回复@划船大王:可以可以！！
93,0.5,回复@周涛涛的小萌萌:由于目前地铁4号线尚处于环评阶段，今后在设计报批等环节还可能有所改动，站点位置及站点名称尚未最终确定。根据最新批复的《青岛市城市轨道交通近期建设规划调整（2013—2021年）》，将原4号线终点由沙子口站向东延伸4.5公里至大河东站，线路长30.7公里，设站25座。[good]
94,0.5,回复@周涛涛的小萌萌:不是，以后会修到那了的
95,0.5,回复@天锥waiting杜拉克草:伤心[伤心]大山里面的出不去了
96,0.5,回复@周涛涛的小萌萌:先到沙子口
97,0.5,终点到沙子口还是大河东[doge]
98,0.5,[话筒]王南路道封闭
99,0.4737150425347657,【王南路实施改道工程】//@青岛交通广播FM897: [围观]
100,0.5,应该是给歌尔声学倒地方吧
101,0.5,回复@青岛交警:施工快一年了[挖鼻]
102,0.5,回复@Miss-Annn:同安路是个弧形的路
